time,lat,lon,iod
1982-01-01,1.0,1.0,-0.0064745285
1982-02-01,1.0,1.0,0.52573395
1982-03-01,1.0,1.0,0.44015414
1982-04-01,1.0,1.0,0.49369067
1982-05-01,1.0,1.0,0.7404769
1982-06-01,1.0,1.0,0.714615
1982-07-01,1.0,1.0,0.6426983
1982-08-01,1.0,1.0,0.51408595
1982-09-01,1.0,1.0,0.4000098
1982-10-01,1.0,1.0,0.65308535
1982-11-01,1.0,1.0,0.45549554
1982-12-01,1.0,1.0,-0.005179569
1983-01-01,1.0,1.0,-0.13865836
1983-02-01,1.0,1.0,-0.42127562
1983-03-01,1.0,1.0,-0.81712174
1983-04-01,1.0,1.0,-0.50598466
1983-05-01,1.0,1.0,-0.056177374
1983-06-01,1.0,1.0,0.67921054
1983-07-01,1.0,1.0,0.9824736
1983-08-01,1.0,1.0,0.6438651
1983-09-01,1.0,1.0,0.096882604
1983-10-01,1.0,1.0,0.2508211
1983-11-01,1.0,1.0,0.16443403
1983-12-01,1.0,1.0,-0.12792726
1984-01-01,1.0,1.0,-0.10946976
1984-02-01,1.0,1.0,-0.1709502
1984-03-01,1.0,1.0,-0.0051470026
1984-04-01,1.0,1.0,0.33818758
1984-05-01,1.0,1.0,-0.4587254
1984-06-01,1.0,1.0,-0.35901088
1984-07-01,1.0,1.0,-0.25785932
1984-08-01,1.0,1.0,-0.2305461
1984-09-01,1.0,1.0,-0.371649
1984-10-01,1.0,1.0,-0.16301744
1984-11-01,1.0,1.0,-0.307055
1984-12-01,1.0,1.0,-0.18037945
1985-01-01,1.0,1.0,-0.14229427
1985-02-01,1.0,1.0,-0.3805567
1985-03-01,1.0,1.0,-0.11786506
1985-04-01,1.0,1.0,0.0003431093
1985-05-01,1.0,1.0,0.08058045
1985-06-01,1.0,1.0,-0.44104326
1985-07-01,1.0,1.0,-0.41423565
1985-08-01,1.0,1.0,-0.15196614
1985-09-01,1.0,1.0,-0.13838363
1985-10-01,1.0,1.0,-0.4176414
1985-11-01,1.0,1.0,0.21894309
1985-12-01,1.0,1.0,-0.12505329
1986-01-01,1.0,1.0,0.12019109
1986-02-01,1.0,1.0,0.26196086
1986-03-01,1.0,1.0,0.44372967
1986-04-01,1.0,1.0,0.21333729
1986-05-01,1.0,1.0,0.19686134
1986-06-01,1.0,1.0,-0.14773673
1986-07-01,1.0,1.0,-0.4645052
1986-08-01,1.0,1.0,-0.14629385
1986-09-01,1.0,1.0,0.114153236
1986-10-01,1.0,1.0,0.0035606318
1986-11-01,1.0,1.0,0.38459662
1986-12-01,1.0,1.0,0.040946174
1987-01-01,1.0,1.0,-0.040555302
1987-02-01,1.0,1.0,-0.011934975
1987-03-01,1.0,1.0,-0.46052122
1987-04-01,1.0,1.0,-0.34941953
1987-05-01,1.0,1.0,0.06829807
1987-06-01,1.0,1.0,-0.030595342
1987-07-01,1.0,1.0,-0.15022202
1987-08-01,1.0,1.0,0.106846645
1987-09-01,1.0,1.0,0.51070833
1987-10-01,1.0,1.0,0.50082624
1987-11-01,1.0,1.0,-0.12221946
1987-12-01,1.0,1.0,-0.16641049
1988-01-01,1.0,1.0,0.14154446
1988-02-01,1.0,1.0,0.13254748
1988-03-01,1.0,1.0,-0.059278905
1988-04-01,1.0,1.0,0.26945758
1988-05-01,1.0,1.0,-0.44211057
1988-06-01,1.0,1.0,-0.34547418
1988-07-01,1.0,1.0,0.08180289
1988-08-01,1.0,1.0,-0.04061914
1988-09-01,1.0,1.0,-0.22381805
1988-10-01,1.0,1.0,-0.3829151
1988-11-01,1.0,1.0,-0.27363476
1988-12-01,1.0,1.0,0.25915778
1989-01-01,1.0,1.0,-0.4465003
1989-02-01,1.0,1.0,0.37541193
1989-03-01,1.0,1.0,-0.100665115
1989-04-01,1.0,1.0,-0.08668428
1989-05-01,1.0,1.0,-0.100022696
1989-06-01,1.0,1.0,-0.62945676
1989-07-01,1.0,1.0,-0.12301664
1989-08-01,1.0,1.0,-0.7216624
1989-09-01,1.0,1.0,-0.5163771
1989-10-01,1.0,1.0,-0.63603973
1989-11-01,1.0,1.0,-0.4571409
1989-12-01,1.0,1.0,-0.027582498
1990-01-01,1.0,1.0,0.3770801
1990-02-01,1.0,1.0,-0.11549699
1990-03-01,1.0,1.0,-0.020943625
1990-04-01,1.0,1.0,-0.20359087
1990-05-01,1.0,1.0,-0.46624014
1990-06-01,1.0,1.0,-0.39374253
1990-07-01,1.0,1.0,0.031274892
1990-08-01,1.0,1.0,-0.14414977
1990-09-01,1.0,1.0,-0.40142113
1990-10-01,1.0,1.0,-0.82573193
1990-11-01,1.0,1.0,-0.07663442
1990-12-01,1.0,1.0,-0.14928155
1991-01-01,1.0,1.0,0.114664845
1991-02-01,1.0,1.0,0.13277243
1991-03-01,1.0,1.0,-0.2320413
1991-04-01,1.0,1.0,0.7788178
1991-05-01,1.0,1.0,0.70197123
1991-06-01,1.0,1.0,0.25191784
